tid,start,end
2,10,15
7,29,41
9,41,43
8,43,44
10,44,47
8,47,50
11,50,53
8,53,59
13,59,60
14,60,62
16,62,74
17,74,83
21,83,93
20,93,97
23,97,102
24,102,106
20,106,112
13,112,121
27,124,132
29,137,140
31,153,155
32,155,157
35,157,158
36,158,161
35,161,166
32,166,170
34,170,180
41,180,189
42,189,200
43,200,211
46,211,221
48,225,227
49,230,233
51,242,246
53,246,251
51,251,252
55,257,261
56,261,264
55,264,270
57,282,285
58,285,288
60,306,308
61,310,312
62,312,314
64,316,328
65,328,334
66,346,349
68,353,356
69,368,371
70,374,380
74,408,414
75,414,416
74,416,417
76,426,430
77,433,436
80,459,461
81,467,469
83,469,471
84,471,473
83,473,477
86,477,479
87,479,482
86,482,488
88,488,496
91,496,499
92,499,508
89,508,517
93,517,523
96,523,526
95,526,532
97,532,536
99,536,538
97,538,543
98,543,544
100,544,546
98,546,554
103,559,570
106,581,589
110,595,597
109,597,599
112,600,603
133,603,608
111,608,612
148,612,617
113,617,621
126,621,625
118,625,632
119,632,638
149,638,643
115,643,649
116,649,658
122,658,663
143,663,668
144,668,673
114,673,680
