tid,start,end
0,4,6
1,8,12
3,12,15
1,15,22
6,22,29
5,29,40
4,40,52
12,52,59
4,59,60
15,60,65
4,65,71
18,71,77
19,77,82
22,83,102
25,121,125
26,125,136
28,136,140
30,141,156
33,156,158
30,158,162
37,165,177
39,177,182
37,182,185
40,185,191
38,191,200
44,200,203
38,203,204
45,205,213
47,221,238
50,238,243
52,243,253
50,253,262
54,262,266
59,291,306
63,312,330
67,349,368
71,376,384
72,395,405
73,405,416
72,416,425
78,438,449
79,449,458
78,458,463
82,469,472
85,472,485
82,485,502
90,502,520
94,520,538
101,551,556
102,556,558
101,558,562
104,562,568
105,578,590
107,590,600
121,600,602
134,602,605
117,605,607
138,607,611
140,611,614
137,614,617
156,617,622
158,622,625
154,625,630
107,630,631
142,631,644
155,644,650
145,650,661
152,661,668
120,668,676
129,676,684
139,684,702
159,702,715
131,715,728
135,728,744
153,744,756
130,756,773
147,773,783
157,783,802
124,802,821
132,821,836
128,836,850
150,850,864
108,864,878
146,878,897
151,897,913
127,913,928
123,928,948
141,948,965
125,965,982
136,982,1002
