tid,start,end
0,4,6
3,12,14
11,50,53
12,53,58
14,60,62
15,62,65
16,65,66
18,66,70
16,70,81
17,81,90
20,90,97
23,97,102
24,102,106
20,106,109
29,137,140
31,153,155
33,156,158
36,158,161
39,177,180
40,180,184
42,186,197
48,225,227
50,231,240
55,257,267
57,282,285
58,285,288
61,310,312
63,312,321
65,321,327
63,327,329
66,346,349
67,349,353
68,353,356
67,356,364
69,368,371
72,395,405
73,405,412
74,412,419
72,419,421
77,433,436
79,449,455
80,459,461
82,469,481
89,481,490
92,498,507
93,507,513
95,513,518
96,518,521
95,521,522
99,536,538
101,551,556
102,556,558
101,558,559
104,560,564
105,578,581
106,581,589
105,589,594
109,595,597
134,600,602
117,602,604
138,604,607
112,607,610
137,610,612
158,612,614
133,614,619
111,619,623
154,623,626
113,626,630
119,630,636
142,636,644
115,644,650
145,650,657
152,657,662
143,662,667
139,667,678
114,678,685
130,685,695
150,695,704
151,704,714
125,714,724
136,724,736
