tid,start,end
1,8,10
2,10,18
1,18,27
6,27,34
5,34,41
9,41,43
5,43,47
10,47,52
7,52,72
4,72,91
8,91,107
19,107,112
21,112,129
13,129,146
25,146,150
26,150,161
28,161,165
27,165,178
22,178,197
35,197,207
32,207,217
30,217,236
37,236,251
34,251,267
44,267,270
38,270,280
41,280,295
45,295,303
49,303,308
43,308,326
47,326,343
53,343,350
51,350,357
52,357,367
46,367,384
54,384,388
56,388,393
60,393,396
62,396,398
59,398,413
64,413,432
70,432,441
71,441,449
75,449,451
76,451,457
78,457,467
81,467,469
78,469,471
84,471,473
78,473,477
83,477,486
87,486,491
86,491,503
91,503,508
85,508,521
88,521,534
90,534,552
100,552,555
97,555,570
94,570,588
98,588,602
110,602,605
121,605,607
140,607,610
103,610,628
156,628,633
148,633,640
126,640,646
118,646,657
107,657,668
149,668,675
155,675,681
116,681,695
122,695,703
144,703,711
120,711,719
129,719,727
159,727,740
131,740,753
135,753,769
153,769,781
147,781,791
157,791,810
124,810,829
132,829,844
128,844,858
108,858,872
146,872,891
127,891,906
123,906,926
141,926,943
