episode,return,steps,epsilon,mean_loss
0,-81.99999999999957,120,0.998586875,nan
1,-46.73000000000002,120,0.997161875,nan
2,-78.7500000000001,120,0.995736875,nan
3,-132.3939999999996,120,0.994311875,nan
4,-92.51800000000003,120,0.992886875,nan
5,-103.56199999999981,120,0.991461875,nan
6,-146.05800000000002,120,0.990036875,nan
7,-81.14600000000006,120,0.988611875,nan
8,-142.23799999999977,120,0.987186875,nan
9,-20.953999999999617,120,0.985761875,nan
10,-144.3239999999998,120,0.984336875,nan
11,-55.848000000000255,120,0.982911875,nan
12,-168.50799999999973,120,0.981486875,nan
13,-172.48599999999968,120,0.980061875,nan
14,-93.26399999999978,120,0.978636875,nan
15,-136.63999999999976,120,0.977211875,nan
16,-148.19599999999951,120,0.975786875,nan
17,-132.89999999999986,120,0.974361875,nan
18,-90.66799999999976,120,0.972936875,nan
19,-114.52199999999986,120,0.971511875,nan
20,-157.11799999999985,120,0.970086875,nan
21,-206.9479999999996,120,0.968661875,nan
22,-81.18000000000023,120,0.967236875,nan
23,-137.26399999999992,120,0.965811875,nan
24,-141.7899999999998,120,0.964386875,nan
25,-110.75599999999997,120,0.962961875,nan
26,-109.2519999999997,120,0.961536875,nan
27,-184.69400000000013,120,0.960111875,nan
28,-111.79399999999995,120,0.958686875,nan
29,-144.7979999999996,120,0.957261875,nan
30,-132.8499999999997,120,0.955836875,nan
31,-110.09399999999985,120,0.954411875,nan
32,-155.38399999999973,120,0.952986875,nan
33,-83.88799999999999,120,0.951561875,nan
34,-165.42399999999958,120,0.950136875,nan
35,-130.79199999999975,120,0.948711875,nan
36,-139.5019999999997,120,0.947286875,nan
37,-156.1239999999997,120,0.945861875,nan
38,-137.97199999999944,120,0.944436875,nan
39,-168.17399999999958,120,0.943011875,nan
40,-30.717999999999776,120,0.941586875,nan
41,-96.00400000000002,120,0.940161875,0.877678482960432
42,-78.09599999999982,120,0.938736875,0.8855061632891496
43,-159.9939999999998,120,0.937311875,0.8504225154717763
44,-148.61199999999965,120,0.935886875,0.8458293323715528
45,-88.69599999999974,120,0.934461875,0.8383195879558722
46,-163.7199999999997,120,0.933036875,0.8009372445444266
47,-131.2179999999999,120,0.931611875,0.8084735577305158
48,-110.538,120,0.930186875,0.8501097445686658
49,-109.34399999999988,120,0.928761875,0.8133150118092696
50,-139.984,120,0.927336875,0.8514104689160983
51,-140.58800000000002,120,0.9259118749999999,0.8788860174516837
52,-68.9359999999997,120,0.924486875,0.8504994983474413
53,-148.06999999999965,120,0.923061875,0.8219081170856952
54,-158.83399999999978,120,0.921636875,0.846832916388909
55,-119.1679999999995,120,0.920211875,0.8285541782776514
56,-66.29800000000009,120,0.918786875,0.8435528134306272
57,-93.46200000000016,120,0.917361875,0.809351892520984
58,-94.4880000000001,120,0.915936875,0.8273617754379908
59,-151.5200000000002,120,0.914511875,0.7919371622304122
60,-96.7099999999998,120,0.913086875,0.8370376569529374
61,-121.65999999999994,120,0.911661875,0.7907707542181015
62,-135.80599999999976,120,0.9102368750000001,0.8049307117859522
63,-114.88399999999959,120,0.908811875,0.8007531615595023
64,-144.77799999999948,120,0.907386875,0.8159240951140722
65,-88.88199999999985,120,0.905961875,0.8073719210922718
66,-47.67200000000005,120,0.904536875,0.8158418660362562
67,-90.3419999999995,120,0.903111875,0.7903627594312032
68,-88.30000000000001,120,0.901686875,0.7349286369979382
69,-164.2479999999997,120,0.900261875,0.7369932423035304
70,-153.41599999999966,120,0.898836875,0.8100631162524223
71,-53.84999999999973,120,0.897411875,0.8091602347791195
72,-119.04799999999994,120,0.895986875,0.8155974333484968
73,-85.17199999999995,120,0.894561875,0.8164919383823872
74,-163.47999999999945,120,0.8931368749999999,0.8318628184497356
75,-46.33200000000001,120,0.891711875,0.7684375206629436
76,-172.0859999999999,120,0.890286875,0.7619223294158777
77,-102.2159999999998,120,0.888861875,0.7725883881251018
78,-114.65800000000004,120,0.887436875,0.8092507583399614
79,-122.87199999999989,120,0.886011875,0.77597624634703
80,-123.73599999999965,120,0.884586875,0.772578752040863
81,-105.22400000000009,120,0.883161875,0.7799941956996918
82,-141.682,120,0.881736875,0.7566266849637031
83,-42.633999999999745,120,0.880311875,0.8004572091003259
84,-90.10999999999976,120,0.878886875,0.7172758800288042
85,-79.00000000000003,120,0.8774618750000001,0.738841833670934
86,-136.55999999999995,120,0.876036875,0.8030903515716393
87,-114.96399999999979,120,0.874611875,0.7433661426107089
88,-145.44399999999968,120,0.873186875,0.7711490126947562
89,-161.10399999999953,120,0.871761875,0.7479942421118418
90,-141.04400000000012,120,0.870336875,0.7792789831757545
91,-35.3759999999997,120,0.868911875,0.7663992837071418
92,-9.49399999999998,120,0.867486875,0.7297614763180414
93,-63.668000000000006,120,0.866061875,0.7536100725332896
94,-177.73199999999974,120,0.864636875,0.7849641755223274
95,-160.2519999999996,120,0.863211875,0.697969642529885
96,-20.70200000000009,120,0.861786875,0.7531940552095572
97,-143.1739999999995,120,0.860361875,0.7230735942721367
98,-151.48999999999987,120,0.858936875,0.7195459194481373
99,-117.16399999999993,120,0.857511875,0.7395953983068466
100,-58.32599999999974,120,0.856086875,0.7408310343821843
101,-30.78400000000014,120,0.854661875,0.8059125003715356
102,-105.61599999999986,120,0.853236875,0.7396765182415644
103,-141.4819999999997,120,0.851811875,0.7458500541746617
104,-69.61799999999984,120,0.850386875,0.741060504813989
105,-150.3499999999993,120,0.848961875,0.7930854901671409
106,3.3700000000002888,120,0.847536875,0.7651579275727272
107,-144.39199999999994,120,0.8461118750000001,0.7536313151319821
108,-28.275999999999918,120,0.8446868750000001,0.7115021000305811
109,-159.6380000000001,120,0.843261875,0.6868069472412268
110,-154.4819999999996,120,0.841836875,0.7196704270939033
111,-122.85799999999963,120,0.840411875,0.7277392429610093
112,-94.26999999999992,120,0.838986875,0.7393184234698613
113,-15.093999999999962,120,0.837561875,0.7655623006323974
114,-57.108000000000054,120,0.836136875,0.7089006970326106
115,-91.27999999999984,120,0.834711875,0.6724854238331318
116,-157.09599999999926,120,0.833286875,0.7165995575487614
117,-160.9959999999997,120,0.831861875,0.7247746991614501
118,-41.298000000000094,120,0.830436875,0.7165831714868546
119,-74.05399999999996,120,0.829011875,0.6897376976907253
120,-159.60199999999983,120,0.8275868749999999,0.6980564934511979
121,-131.9419999999996,120,0.826161875,0.7304411590099334
122,6.038000000000172,120,0.824736875,0.725568900257349
123,-57.07799999999941,120,0.823311875,0.7207783127824465
124,-179.99599999999953,120,0.821886875,0.7353559620678425
125,-132.65599999999986,120,0.820461875,0.7559062987565994
126,-117.36399999999985,120,0.819036875,0.7394946200152238
127,-68.88199999999992,120,0.817611875,0.756837830444177
128,-108.10599999999991,120,0.816186875,0.7227878056466579
129,-107.38999999999999,120,0.814761875,0.7216640835007032
130,-56.626000000000104,120,0.813336875,0.7628978605071703
131,-126.54199999999962,120,0.8119118750000001,0.7000807531177997
132,-29.041999999999945,120,0.810486875,0.6984584895273049
133,-40.335999999999615,120,0.809061875,0.6958262252310912
134,-103.98000000000009,120,0.807636875,0.7379959998031457
135,-101.66799999999986,120,0.806211875,0.7306979676087697
136,-88.74999999999946,120,0.804786875,0.6844405916829904
137,-91.14199999999985,120,0.803361875,0.748666429768006
138,-55.539999999999765,120,0.801936875,0.6715458956857522
139,-74.09799999999956,120,0.800511875,0.7349403900404771
140,-18.64200000000001,120,0.799086875,0.7416832469403744
141,-143.77799999999957,120,0.797661875,0.7130628394583861
142,-99.87399999999995,120,0.796236875,0.6850577185551325
143,25.376000000000086,120,0.794811875,0.6837284341454506
144,-121.62599999999958,120,0.793386875,0.6819016136229038
145,24.658000000000072,120,0.791961875,0.6478467591106891
146,-160.81599999999952,120,0.790536875,0.7117580220103263
147,-16.533999999999864,120,0.789111875,0.7129665203392506
148,-66.37399999999951,120,0.787686875,0.7195453129708766
149,-135.418,120,0.786261875,0.685708628843228
150,-71.22999999999978,120,0.784836875,0.6649949985245863
151,-75.26599999999999,120,0.783411875,0.6692446788152059
152,-153.46800000000007,120,0.781986875,0.7066974091033141
153,-111.50999999999972,120,0.780561875,0.7321545600891113
154,-120.20399999999977,120,0.7791368750000001,0.6980380793412526
155,-97.97999999999979,120,0.777711875,0.7321071617305279
156,-121.95799999999994,120,0.776286875,0.6876447970668474
157,-60.05999999999986,120,0.774861875,0.6826241806149482
158,-139.94799999999958,120,0.773436875,0.6856426909565926
159,-54.408,120,0.772011875,0.6816634714603425
160,-89.68599999999996,120,0.770586875,0.7428382501006127
161,-18.801999999999794,120,0.769161875,0.7255671980480353
162,-7.977999999999868,120,0.767736875,0.6679138580958048
163,-153.43399999999988,120,0.766311875,0.661688307672739
164,-8.121999999999762,120,0.764886875,0.6865500502288342
165,-92.69200000000009,120,0.763461875,0.6804901239772637
166,-41.56199999999984,120,0.7620368750000001,0.6849935054779053
167,-46.92600000000007,120,0.760611875,0.6830956816673279
168,-94.19399999999973,120,0.759186875,0.6471029989421367
169,-84.58599999999996,120,0.757761875,0.7047242378195127
170,-133.94799999999967,120,0.756336875,0.663703910758098
171,-60.57599999999957,120,0.754911875,0.6779092445969581
172,-57.491999999999685,120,0.753486875,0.6404457372923692
173,-22.06199999999999,120,0.752061875,0.6451856625576814
174,-127.89399999999962,120,0.7506368750000001,0.6677155372997124
175,-34.709999999999816,120,0.7492118750000001,0.6489386322597662
176,-147.102,120,0.7477868750000001,0.6739370286464691
177,-131.94999999999936,120,0.7463618750000001,0.6599658101797103
178,3.1120000000000587,120,0.744936875,0.7077605669697126
179,-128.5639999999995,120,0.743511875,0.637124431381623
180,-46.09200000000003,120,0.742086875,0.6238347850739956
181,-100.64800000000001,120,0.740661875,0.6459872722625732
182,-86.36599999999986,120,0.739236875,0.6347905856867632
183,-130.73599999999942,120,0.737811875,0.7146050984660784
184,-137.68799999999945,120,0.736386875,0.666662490616242
185,-122.7739999999996,120,0.734961875,0.659079913298289
186,-117.09199999999994,120,0.733536875,0.6530703400572141
187,-131.8639999999995,120,0.732111875,0.6484503087898096
188,-18.850000000000023,120,0.730686875,0.6024093868831794
189,-23.52000000000006,120,0.729261875,0.6730425554017226
190,-9.083999999999962,120,0.7278368749999999,0.6359815419962008
191,-15.593999999999841,120,0.7264118749999999,0.7063266759117445
192,-52.02200000000019,120,0.724986875,0.6637539185583592
193,-2.076000000000003,120,0.723561875,0.6753297892709573
194,-17.372000000000014,120,0.722136875,0.6432907501856486
195,-57.56399999999992,120,0.720711875,0.6799203425645828
196,-87.96799999999982,120,0.719286875,0.6390410497784614
197,-134.15799999999956,120,0.717861875,0.6904916187127431
198,-90.13600000000008,120,0.716436875,0.6160615526139737
199,-11.155999999999846,120,0.7150118750000001,0.7075478382408619
200,19.77800000000009,120,0.7135868750000001,0.639843330035607
201,-7.859999999999749,120,0.712161875,0.6437603920698166
202,-49.23800000000011,120,0.710736875,0.6580500098566214
