method,tid,time,assigned_core,exec_big,exec_little,slack,deadline,arrival
ddqn,0,4,1,2,2,7,11,4
ddqn,1,8,1,7,11,34,42,8
ddqn,2,10,0,5,8,14,24,10
ddqn,3,12,1,2,3,11,23,12
ddqn,4,16,1,12,19,73,89,16
ddqn,5,16,1,7,11,35,51,16
ddqn,6,18,1,5,7,25,43,18
ddqn,7,29,0,12,20,54,83,29
ddqn,8,37,0,10,16,53,90,37
ddqn,9,41,0,2,2,6,47,41
ddqn,10,44,0,3,5,10,54,44
ddqn,11,50,0,3,4,8,58,50
ddqn,12,52,1,5,7,22,74,52
ddqn,13,57,0,10,17,64,121,57
ddqn,14,60,0,2,3,10,70,60
ddqn,15,60,1,3,5,16,76,60
ddqn,16,61,0,12,20,37,98,61
ddqn,17,63,0,9,14,41,104,63
ddqn,18,66,1,4,6,24,90,66
ddqn,19,71,1,3,5,20,91,71
ddqn,20,76,0,10,16,43,119,76
ddqn,21,77,0,10,17,31,108,77
ddqn,22,83,1,12,19,66,149,83
ddqn,23,97,0,5,7,11,108,97
ddqn,24,102,0,4,6,11,113,102
ddqn,25,121,1,3,4,12,133,121
ddqn,26,121,1,7,11,18,139,121
ddqn,27,124,0,8,13,24,148,124
ddqn,28,126,1,3,4,13,139,126
ddqn,29,137,0,3,5,17,154,137
ddqn,30,141,1,12,19,53,194,141
ddqn,31,153,0,2,3,6,159,153
ddqn,32,155,0,6,10,32,187,155
ddqn,33,156,1,2,2,8,164,156
ddqn,34,157,0,10,16,48,205,157
ddqn,35,157,0,6,10,25,182,157
ddqn,36,158,0,3,4,9,167,158
ddqn,37,165,1,9,15,39,204,165
ddqn,38,172,1,6,10,38,210,172
ddqn,39,177,1,3,5,20,197,177
ddqn,40,180,1,4,6,24,204,180
ddqn,41,180,0,9,15,38,218,180
ddqn,42,186,0,11,18,54,240,186
ddqn,43,197,0,11,18,60,257,197
ddqn,44,200,1,2,3,8,208,200
ddqn,45,205,1,5,8,19,224,205
ddqn,46,210,0,10,17,58,268,210
ddqn,47,221,1,10,17,39,260,221
ddqn,48,225,0,2,3,9,234,225
ddqn,49,230,0,3,5,11,241,230
ddqn,50,231,1,9,14,37,268,231
ddqn,51,242,0,5,7,23,265,242
ddqn,52,243,1,6,10,24,267,243
ddqn,53,246,0,5,7,14,260,246
ddqn,54,256,1,3,4,12,268,256
ddqn,55,257,0,10,16,57,314,257
ddqn,56,261,0,3,5,8,269,261
ddqn,57,282,0,3,5,13,295,282
ddqn,58,282,0,3,5,20,302,282
ddqn,59,291,1,9,15,52,343,291
ddqn,60,306,0,2,3,6,312,306
ddqn,61,310,0,2,3,8,318,310
ddqn,62,311,0,2,2,7,318,311
ddqn,63,312,1,11,18,55,367,312
ddqn,64,316,0,12,19,37,353,316
ddqn,65,321,0,6,10,33,354,321
ddqn,66,346,0,3,5,16,362,346
ddqn,67,349,1,12,19,75,424,349
ddqn,68,353,0,3,4,8,361,353
ddqn,69,368,0,3,4,16,384,368
ddqn,70,374,0,6,9,15,389,374
ddqn,71,376,1,5,8,30,406,376
