method,tid,time,assigned_core,exec_big,exec_little,slack,deadline,arrival
random,0,4,0,2,2,7,11,4
random,1,8,1,7,11,34,42,8
random,2,10,1,5,8,14,24,10
random,3,12,0,2,3,11,23,12
random,4,16,1,12,19,73,89,16
random,5,16,1,7,11,35,51,16
random,6,18,1,5,7,25,43,18
random,7,29,1,12,20,54,83,29
random,8,37,1,10,16,53,90,37
random,9,41,1,2,2,6,47,41
random,10,44,1,3,5,10,54,44
random,11,50,0,3,4,8,58,50
random,12,52,0,5,7,22,74,52
random,13,57,1,10,17,64,121,57
random,14,60,0,2,3,10,70,60
random,15,60,0,3,5,16,76,60
random,16,61,0,12,20,37,98,61
random,17,63,0,9,14,41,104,63
random,18,66,0,4,6,24,90,66
random,19,71,1,3,5,20,91,71
random,20,76,0,10,16,43,119,76
random,21,77,1,10,17,31,108,77
random,22,83,1,12,19,66,149,83
random,23,97,0,5,7,11,108,97
random,24,102,0,4,6,11,113,102
random,25,121,1,3,4,12,133,121
random,26,121,1,7,11,18,139,121
random,27,124,1,8,13,24,148,124
random,28,126,1,3,4,13,139,126
random,29,137,0,3,5,17,154,137
random,30,141,1,12,19,53,194,141
random,31,153,0,2,3,6,159,153
random,32,155,1,6,10,32,187,155
random,33,156,0,2,2,8,164,156
random,34,157,1,10,16,48,205,157
random,35,157,1,6,10,25,182,157
random,36,158,0,3,4,9,167,158
random,37,165,1,9,15,39,204,165
random,38,172,1,6,10,38,210,172
random,39,177,0,3,5,20,197,177
random,40,180,0,4,6,24,204,180
random,41,180,1,9,15,38,218,180
random,42,186,0,11,18,54,240,186
random,43,197,1,11,18,60,257,197
random,44,200,1,2,3,8,208,200
random,45,205,1,5,8,19,224,205
random,46,210,1,10,17,58,268,210
random,47,221,1,10,17,39,260,221
random,48,225,0,2,3,9,234,225
random,49,230,1,3,5,11,241,230
random,50,231,0,9,14,37,268,231
random,51,242,1,5,7,23,265,242
random,52,243,1,6,10,24,267,243
random,53,246,1,5,7,14,260,246
random,54,256,1,3,4,12,268,256
